"","GEOID","NAME","total_households","vacant_households","percent_vacant"
"1","19003","Adams County, Iowa",1888,274,14.5127118644068
"2","19005","Allamakee County, Iowa",7668,1871,24.4001043296818
"3","19009","Audubon County, Iowa",2787,289,10.3695730175816
"4","19013","Black Hawk County, Iowa",58559,4336,7.40449802763025
"5","19015","Boone County, Iowa",11921,940,7.8852445264659
"6","19019","Buchanan County, Iowa",8886,688,7.74251631780329
"7","19023","Butler County, Iowa",6536,544,8.32313341493268
"8","19025","Calhoun County, Iowa",4771,701,14.6929364913016
"9","19029","Cass County, Iowa",6398,580,9.06533291653642
"10","19031","Cedar County, Iowa",8190,596,7.27716727716728
"11","19035","Cherokee County, Iowa",5558,550,9.89564591579705
"12","19037","Chickasaw County, Iowa",5534,512,9.25189736176364
"13","19041","Clay County, Iowa",8109,887,10.9384634356887
"14","19045","Clinton County, Iowa",21517,2034,9.45299065854906
"15","19047","Crawford County, Iowa",6855,600,8.7527352297593
"16","19051","Davis County, Iowa",3579,321,8.96898575020955
"17","19053","Decatur County, Iowa",3653,667,18.2589652340542
"18","19057","Des Moines County, Iowa",18782,2031,10.813544883399
"19","19059","Dickinson County, Iowa",13691,5715,41.7427507121467
"20","19061","Dubuque County, Iowa",42630,2739,6.42505277973258
"21","19063","Emmet County, Iowa",4475,503,11.2402234636872
"22","19065","Fayette County, Iowa",9298,1124,12.0886212088621
"23","19067","Floyd County, Iowa",7314,640,8.75034181022696
"24","19069","Franklin County, Iowa",4656,515,11.0609965635739
"25","19071","Fremont County, Iowa",3110,390,12.540192926045
"26","19073","Greene County, Iowa",4309,507,11.7660710141564
"27","19075","Grundy County, Iowa",5465,396,7.24611161939616
"28","19077","Guthrie County, Iowa",5773,1244,21.548588255673
"29","19079","Hamilton County, Iowa",7037,754,10.7147932357539
"30","19081","Hancock County, Iowa",5113,528,10.3266184236261
"31","19083","Hardin County, Iowa",8032,962,11.9770916334661
"32","19085","Harrison County, Iowa",6665,714,10.7126781695424
"33","19087","Henry County, Iowa",8398,652,7.76375327458919
"34","19089","Howard County, Iowa",4314,369,8.55354659248957
"35","19091","Humboldt County, Iowa",4571,498,10.8947713848173
"36","19093","Ida County, Iowa",3352,412,12.291169451074
"37","19095","Iowa County, Iowa",7341,530,7.219724833129
"38","19097","Jackson County, Iowa",9241,936,10.128773942214
"39","19101","Jefferson County, Iowa",7689,787,10.2354012225257
"40","19103","Johnson County, Iowa",65916,4581,6.94975423265975
"41","19107","Keokuk County, Iowa",4654,480,10.313708637731
"42","19111","Lee County, Iowa",15858,1822,11.4894690377097
"43","19113","Linn County, Iowa",101230,6479,6.40027659784649
"44","19117","Lucas County, Iowa",4058,450,11.0892065056678
"45","19119","Lyon County, Iowa",4817,351,7.28669296242475
"46","19123","Mahaska County, Iowa",9680,881,9.10123966942149
"47","19127","Marshall County, Iowa",16745,1387,8.28306957300687
"48","19129","Mills County, Iowa",6110,598,9.78723404255319
"49","19133","Monona County, Iowa",4373,534,12.2112965927281
"50","19135","Monroe County, Iowa",3636,520,14.3014301430143
"51","19139","Muscatine County, Iowa",18366,1458,7.93858216269193
"52","19143","Osceola County, Iowa",2878,279,9.69423210562891
"53","19145","Page County, Iowa",6983,771,11.0410998138336
"54","19149","Plymouth County, Iowa",10818,647,5.98077278609725
"55","19151","Pocahontas County, Iowa",3666,576,15.7119476268412
"56","19155","Pottawattamie County, Iowa",39852,2568,6.44384221619994
"57","19159","Ringgold County, Iowa",2672,727,27.2080838323353
"58","19161","Sac County, Iowa",5118,845,16.5103556076592
"59","19165","Shelby County, Iowa",5421,440,8.116583656152
"60","19167","Sioux County, Iowa",13000,798,6.13846153846154
